StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
"ACT"," A","1","FILLINGER","Marcus","Animal Justice Party",1
"ACT"," A","1","MONTAGNE","Jessica","Animal Justice Party",2
"ACT"," A","1","BAILEY","Steven","Katter's Australian Party",23
"ACT"," A","1","ARNOLD","Joe","Katter's Australian Party",24
"ACT"," A","1","SHEIKH","Simon","Australian Greens",26
"ACT"," A","1","ESGUERRA","Indra","Australian Greens",27
"ACT"," A","1","O'CONNOR","Mark","Stable Population Party",3
"ACT"," A","1","GRAHAM","Greg","Stable Population Party",4
"ACT"," A","1","BUCKNELL","Chris","Bullet Train For Australia",5
"ACT"," A","1","LEMMEY","Michael James","Bullet Train For Australia",6
"ACT"," A","1","CUBITT","Paul","Drug Law Reform",13
"ACT"," A","1","DOWSON","Stacey","Drug Law Reform",14
"ACT"," A","1","AVERY","Deborah","Sex Party",11
"ACT"," A","1","MILLER","Jamie","Sex Party",12
"ACT"," A","1","ROSS","Irwin","Rise Up Australia Party",15
"ACT"," A","1","HENRIQUEZ","Jose","Rise Up Australia Party",16
"ACT"," A","1","NITSCHKE","Philip","Voluntary Euthanasia Party",9
"ACT"," A","1","MACDOUGALL","Susan","Voluntary Euthanasia Party",10
"ACT"," A","1","SLATTERY","Wayne Kenneth","Palmer United Party",17
"ACT"," A","1","TEERMAN","Paul Gerard","Palmer United Party",18
"ACT"," A","1","SESELJA","Zed","Liberal",21
"ACT"," A","1","NASH","Merinda","Liberal",22
"ACT"," A","1","LUNDY","Kate","Australian Labor Party",19
"ACT"," A","1","SANT","Chris","Australian Labor Party",20
"ACT"," A","1","FERNIE","Anthony Watson","Australian Independents",7
"ACT"," A","1","PETERSEN","Valma","Australian Independents",8
"ACT"," A","1","EZEKIEL-HART","Emmanuel","Independent",25
"ACT"," B","1","FILLINGER","Marcus","Animal Justice Party",11
"ACT"," B","1","MONTAGNE","Jessica","Animal Justice Party",12
"ACT"," B","1","BAILEY","Steven","Katter's Australian Party",1
"ACT"," B","1","ARNOLD","Joe","Katter's Australian Party",2
"ACT"," B","1","SHEIKH","Simon","Australian Greens",17
"ACT"," B","1","ESGUERRA","Indra","Australian Greens",18
"ACT"," B","1","O'CONNOR","Mark","Stable Population Party",13
"ACT"," B","1","GRAHAM","Greg","Stable Population Party",14
"ACT"," B","1","BUCKNELL","Chris","Bullet Train For Australia",3
"ACT"," B","1","LEMMEY","Michael James","Bullet Train For Australia",4
"ACT"," B","1","CUBITT","Paul","Drug Law Reform",15
"ACT"," B","1","DOWSON","Stacey","Drug Law Reform",16
"ACT"," B","1","AVERY","Deborah","Sex Party",23
"ACT"," B","1","MILLER","Jamie","Sex Party",24
"ACT"," B","1","ROSS","Irwin","Rise Up Australia Party",9
"ACT"," B","1","HENRIQUEZ","Jose","Rise Up Australia Party",10
"ACT"," B","1","NITSCHKE","Philip","Voluntary Euthanasia Party",26
"ACT"," B","1","MACDOUGALL","Susan","Voluntary Euthanasia Party",27
"ACT"," B","1","SLATTERY","Wayne Kenneth","Palmer United Party",5
"ACT"," B","1","TEERMAN","Paul Gerard","Palmer United Party",6
"ACT"," B","1","SESELJA","Zed","Liberal",19
"ACT"," B","1","NASH","Merinda","Liberal",20
"ACT"," B","1","LUNDY","Kate","Australian Labor Party",21
"ACT"," B","1","SANT","Chris","Australian Labor Party",22
"ACT"," B","1","FERNIE","Anthony Watson","Australian Independents",7
"ACT"," B","1","PETERSEN","Valma","Australian Independents",8
"ACT"," B","1","EZEKIEL-HART","Emmanuel","Independent",25
"ACT"," C","1","FILLINGER","Marcus","Animal Justice Party",22
"ACT"," C","1","MONTAGNE","Jessica","Animal Justice Party",23
"ACT"," C","1","BAILEY","Steven","Katter's Australian Party",13
"ACT"," C","1","ARNOLD","Joe","Katter's Australian Party",14
"ACT"," C","1","SHEIKH","Simon","Australian Greens",1
"ACT"," C","1","ESGUERRA","Indra","Australian Greens",2
"ACT"," C","1","O'CONNOR","Mark","Stable Population Party",20
"ACT"," C","1","GRAHAM","Greg","Stable Population Party",21
"ACT"," C","1","BUCKNELL","Chris","Bullet Train For Australia",3
"ACT"," C","1","LEMMEY","Michael James","Bullet Train For Australia",4
"ACT"," C","1","CUBITT","Paul","Drug Law Reform",5
"ACT"," C","1","DOWSON","Stacey","Drug Law Reform",6
"ACT"," C","1","AVERY","Deborah","Sex Party",9
"ACT"," C","1","MILLER","Jamie","Sex Party",10
"ACT"," C","1","ROSS","Irwin","Rise Up Australia Party",26
"ACT"," C","1","HENRIQUEZ","Jose","Rise Up Australia Party",27
