StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
NSW, A,1,LEYONHJELM,David,Liberal Democrats,1
NSW, A,1,PETTETT,Jeffrey Marc,Liberal Democrats,2
NSW, A,1,KOUTALIANOS,Bill,No Carbon Tax Climate Sceptics,33
NSW, A,1,McDOWALL,Mijina,No Carbon Tax Climate Sceptics,34
NSW, A,1,McCAFFREY,Simon,Democratic Labour Party (DLP),29
NSW, A,1,HANNA,Daniel John,Democratic Labour Party (DLP),30
NSW, A,1,FERGUSON,Tim,Senator Online (Internet Voting Bills/Issues),64
NSW, A,1,BARRY,Tony,Senator Online (Internet Voting Bills/Issues),65
NSW, A,1,McKINNON,Don,Senator Online (Internet Voting Bills/Issues),66
NSW, A,1,HIGSON,Shayne,Voluntary Euthanasia Party,27
NSW, A,1,MULHALL,Loredana,Voluntary Euthanasia Party,28
NSW, A,1,WHALAN,Andrew,,43
NSW, A,1,COOPER,Peter Grant,,44
NSW, A,1,FUTTER,BJ,Help End Marijuana Prohibition (HEMP) Party,67
NSW, A,1,OLBOURNE,Jason,Help End Marijuana Prohibition (HEMP) Party,68
NSW, A,1,CARTER,MaryLou,Carers Alliance,47
NSW, A,1,BUCKWALTER,Maree,Carers Alliance,48
NSW, A,1,TRANTER,Kellie,The Wikileaks Party,15
NSW, A,1,BROINOWSKI,Alison,The Wikileaks Party,16
NSW, A,1,BISHOP,Norm,Rise Up Australia Party,62
NSW, A,1,SOMERFIELD,Wayne,Rise Up Australia Party,63
NSW, A,1,JANSSON,James,Future Party,49
NSW, A,1,HAGGERTY,James,Future Party,50
NSW, A,1,PEEBLES,Robyn,Christian Democratic Party (Fred Nile Group),86
NSW, A,1,LIONS,Deborah,Christian Democratic Party (Fred Nile Group),87
NSW, A,1,RAHME,Peter,Christian Democratic Party (Fred Nile Group),88
NSW, A,1,FRASER,Caroline Margaret,Christian Democratic Party (Fred Nile Group),89
NSW, A,1,CLIFFORD,Ross,Christian Democratic Party (Fred Nile Group),90
NSW, A,1,CARR,Bob,Labor,91
NSW, A,1,CAMERON,Doug,Labor,92
NSW, A,1,STEPHENS,Ursula,Labor,93
NSW, A,1,KOLOMEITZ,Glenn,Labor,94
NSW, A,1,NELMES,Nuatali,Labor,95
NSW, A,1,CHHIBBER,Bhupinder Kumar,Labor,96
NSW, A,1,MAILLER,Peter James,Katter's Australian Party,23
NSW, A,1,MAKA,Tony,Katter's Australian Party,24
NSW, A,1,STEVENS,Criselee,Australian Voice,51
NSW, A,1,FRANCIS,Keith,Australian Voice,52
NSW, A,1,BLACK,Richard,Australian Voice,53
NSW, A,1,DUNNE,Graeme,Sex Party,13
NSW, A,1,RAYE,Sue,Sex Party,14
NSW, A,1,LOWE,Bob,Australian Fishing and Lifestyle Party,75
NSW, A,1,DEAN,Tim,Australian Fishing and Lifestyle Party,76
NSW, A,1,FAEHRMANN,Cate,The Greens,97
NSW, A,1,RYAN,James,The Greens,98
NSW, A,1,BLATCHFORD,Penny,The Greens,99
NSW, A,1,HO,Christina,The Greens,100
NSW, A,1,FINDLEY,Amanda,The Greens,101
NSW, A,1,SPIES-BUTCHER,Ben,The Greens,102
NSW, A,1,ADAMSON,Matthew,Palmer United Party,25
NSW, A,1,WRIGHTSON,Suellen Marree,Palmer United Party,26
NSW, A,1,BROWN,Ray,Building Australia Party,39
NSW, A,1,SYMINGTON,Melanie,Building Australia Party,40
NSW, A,1,SIMONDS,Peter,Uniting Australia Party,54
NSW, A,1,WATT,Tanya,Uniting Australia Party,55
NSW, A,1,OBRIEN,Rick,Stop The Greens,3
NSW, A,1,DE LIMA,Joaquim Eduardo,Stop The Greens,4
NSW, A,1,BEIGER,Nicole,Smokers Rights,5
NSW, A,1,WHELAN,James Peter,Smokers Rights,6
NSW, A,1,BOHM,Tim,Bullet Train For Australia,41
NSW, A,1,GLICK,Charlotte Rebecca,Bullet Train For Australia,42
NSW, A,1,PAYNE,Marise,Liberal,79
NSW, A,1,WILLIAMS,John,The Nationals,80
NSW, A,1,SINODINOS,Arthur,Liberal,81
NSW, A,1,HAY,Alan,The Nationals,82
NSW, A,1,CAMERON,Carolyn,Liberal,83
NSW, A,1,CAMERON,Angus,Liberal,84
NSW, A,1,GRECH,Mark,Australian Protectionist Party,73
NSW, A,1,JOHNS,Christian,Australian Protectionist Party,74
NSW, A,1,PEARSON,Mark,Animal Justice Party,77
NSW, A,1,VICKERS,Kate,Animal Justice Party,78
NSW, A,1,WALLBRIDGE,Darrell,Australia First Party,37
NSW, A,1,FRASER,Garth,Australia First Party,38
NSW, A,1,TANKS,Bradley,Australian Independents,56
NSW, A,1,HIRST,Stephen,Australian Independents,57
NSW, A,1,HUNT,Miles,Drug Law Reform,7
NSW, A,1,TRIMINGHAM,Tony,Drug Law Reform,8
NSW, A,1,BEAMS,Nick,Socialist Equality Party,109
NSW, A,1,HAMBIDES,Zac,Socialist Equality Party,110
NSW, A,1,VILLAVER,Ronaldo,Australian Democrats,69
NSW, A,1,WALLACE,Andrew,Australian Democrats,70
NSW, A,1,WANG,Tom,,45
NSW, A,1,O'TOOLE,Daniel,,46
NSW, A,1,ROSSITER,Fiona,Family First Party,31
NSW, A,1,HURLEY,Stan,Family First Party,32
NSW, A,1,BOURKE,William,Stable Population Party,60
NSW, A,1,SPIKE,Kris,Stable Population Party,61
NSW, A,1,HOUSEMAN,Karl Alexander,Shooters and Fishers,85
NSW, A,1,MUIRHEAD,Jim,Shooters and Fishers,9
NSW, A,1,FRASER,Gordon Graham,Stop CSG,71
NSW, A,1,DEAN,Lynda Susan,Stop CSG,72
NSW, A,1,McNALLY,Kerry,The Australian Republicans,17
NSW, A,1,BLAKE,Jason,The Australian Republicans,18
NSW, A,1,McILROY,Jim,Socialist Alliance,103
NSW, A,1,DARE,Reg,Socialist Alliance,104
NSW, A,1,THOMPSON,Andy,Non-Custodial Parents Party (Equal Parenting),19
NSW, A,1,THOMPSON,Josh,Non-Custodial Parents Party (Equal Parenting),20
NSW, A,1,MOLLOY,Brendan,Pirate Party,58
NSW, A,1,CAMPBELL,David,Pirate Party,59
NSW, A,1,BRYCE,Ian,Secular Party of Australia,21
NSW, A,1,OWEN,Christopher,Secular Party of Australia,22
NSW, A,1,MYERS,Gary,Australian Motoring Enthusiast Party,35
NSW, A,1,KIRKNESS,Daniel,Australian Motoring Enthusiast Party,36
NSW, A,1,HANSON,Pauline,One Nation,10
NSW, A,1,MCCULLOCH,Kate,One Nation,11
NSW, A,1,PLUMB,Aaron,One Nation,12
NSW, A,1,POULSEN,Ron,,105
NSW, A,1,ASH,David,Independent,106
NSW, A,1,NATHAN,Sam,Independent,107
