StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
"NT"," A","1","TE WAKE","Douglas","Palmer United Party",1
"NT"," A","1","McCABE","John Brian Douglas","Palmer United Party",2
"NT"," A","1","BELL","Gary","Uniting Australia Party",24
"NT"," A","1","WATT","Kathryn","Uniting Australia Party",23
"NT"," A","1","MILES","Jim","Stable Population Party",19
"NT"," A","1","RUSSELL","Mark","Stable Population Party",20
"NT"," A","1","KUNOTH-MONKS","Rosalie","A.F.N.P.P.",17
"NT"," A","1","GADAMBUA","Jeannie","A.F.N.P.P.",18
"NT"," A","1","SCULLION","Nigel","Country Liberals (NT)",3
"NT"," A","1","FAZLDEEN","Linda","Country Liberals (NT)",4
"NT"," A","1","PERIS","Nova","Australian Labor Party (Northern Territory) Branch",21
"NT"," A","1","FOLEY","Rowan","Australian Labor Party (Northern Territory) Branch",22
"NT"," A","1","EDWARDS","Joanne Louise","Sex Party",13
"NT"," A","1","RANDALL","Tracey Lee","Sex Party",14
"NT"," A","1","WORK","Vernon","Citizens Electoral Council",9
"NT"," A","1","STANKOVIC","Mile","Citizens Electoral Council",10
"NT"," A","1","GRAHAM","Matt","Shooters and Fishers",15
"NT"," A","1","RIGHTON","Christopher James","Shooters and Fishers",16
"NT"," A","1","PILE","Jan","Rise Up Australia Party",7
"NT"," A","1","COX","Michael","Rise Up Australia Party",8
"NT"," A","1","WILLIAMS","Warren H","Australian Greens",11
"NT"," A","1","BRAND","Michael","Australian Greens",12
"NT"," A","1","WALCOTT","Phil","Australian Independents",5
"NT"," A","1","FUTCHER","Lisa","Australian Independents",6
"NT"," B","1","TE WAKE","Douglas","Palmer United Party",19
"NT"," B","1","McCABE","John Brian Douglas","Palmer United Party",20
"NT"," B","1","BELL","Gary","Uniting Australia Party",1
"NT"," B","1","WATT","Kathryn","Uniting Australia Party",2
"NT"," B","1","MILES","Jim","Stable Population Party",7
"NT"," B","1","RUSSELL","Mark","Stable Population Party",8
"NT"," B","1","KUNOTH-MONKS","Rosalie","A.F.N.P.P.",13
"NT"," B","1","GADAMBUA","Jeannie","A.F.N.P.P.",14
"NT"," B","1","SCULLION","Nigel","Country Liberals (NT)",23
"NT"," B","1","FAZLDEEN","Linda","Country Liberals (NT)",24
"NT"," B","1","PERIS","Nova","Australian Labor Party (Northern Territory) Branch",21
"NT"," B","1","FOLEY","Rowan","Australian Labor Party (Northern Territory) Branch",22
"NT"," B","1","EDWARDS","Joanne Louise","Sex Party",5
"NT"," B","1","RANDALL","Tracey Lee","Sex Party",6
"NT"," B","1","WORK","Vernon","Citizens Electoral Council",9
"NT"," B","1","STANKOVIC","Mile","Citizens Electoral Council",10
"NT"," B","1","GRAHAM","Matt","Shooters and Fishers",3
"NT"," B","1","RIGHTON","Christopher James","Shooters and Fishers",4
"NT"," B","1","PILE","Jan","Rise Up Australia Party",11
"NT"," B","1","COX","Michael","Rise Up Australia Party",12
"NT"," B","1","WILLIAMS","Warren H","Australian Greens",17
"NT"," B","1","BRAND","Michael","Australian Greens",18
"NT"," B","1","WALCOTT","Phil","Australian Independents",15
"NT"," B","1","FUTCHER","Lisa","Australian Independents",16
"NT"," C","1","TE WAKE","Douglas","Palmer United Party",11
"NT"," C","2","TE WAKE","Douglas","Palmer United Party",11
"NT"," C","3","TE WAKE","Douglas","Palmer United Party",11
"NT"," C","1","McCABE","John Brian Douglas","Palmer United Party",12
"NT"," C","2","McCABE","John Brian Douglas","Palmer United Party",12
"NT"," C","3","McCABE","John Brian Douglas","Palmer United Party",12
"NT"," C","1","BELL","Gary","Uniting Australia Party",7
"NT"," C","2","BELL","Gary","Uniting Australia Party",7
"NT"," C","3","BELL","Gary","Uniting Australia Party",7
"NT"," C","1","WATT","Kathryn","Uniting Australia Party",8
"NT"," C","2","WATT","Kathryn","Uniting Australia Party",8
"NT"," C","3","WATT","Kathryn","Uniting Australia Party",8
"NT"," C","1","MILES","Jim","Stable Population Party",1
"NT"," C","2","MILES","Jim","Stable Population Party",1
"NT"," C","3","MILES","Jim","Stable Population Party",1
"NT"," C","1","RUSSELL","Mark","Stable Population Party",2
"NT"," C","2","RUSSELL","Mark","Stable Population Party",2
"NT"," C","3","RUSSELL","Mark","Stable Population Party",2
"NT"," C","1","KUNOTH-MONKS","Rosalie","A.F.N.P.P.",3
"NT"," C","2","KUNOTH-MONKS","Rosalie","A.F.N.P.P.",3
