StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
"QLD"," A","1","PETERSON","Jeanette","Animal Justice Party",1
"QLD"," A","1","O'BRIEN","Christopher","Animal Justice Party",2
"QLD"," A","1","MACDONALD","Ian","Liberal National Party of Queensland",63
"QLD"," A","1","McGRATH","James","Liberal National Party of Queensland",64
"QLD"," A","1","CANAVAN","Matthew","Liberal National Party of Queensland",65
"QLD"," A","1","GOODWIN","David","Liberal National Party of Queensland",66
"QLD"," A","1","CRAIG","Theresa","Liberal National Party of Queensland",67
"QLD"," A","1","STOKER","Amanda","Liberal National Party of Queensland",68
"QLD"," A","1","KEIOSKIE","Peter","",48
"QLD"," A","1","TAYLOR","Roland","",49
"QLD"," A","1","PETERSEN","Patricia","Australian Independents",9
"QLD"," A","1","MAXWELL-JONES","Janene","Australian Independents",10
"QLD"," A","1","MOYLAN","James M","Help End Marijuana Prohibition (HEMP) Party",19
"QLD"," A","1","YOBBO","Robbo","Help End Marijuana Prohibition (HEMP) Party",20
"QLD"," A","1","COLLINGWOOD","Bevan","Australian Voice",29
"QLD"," A","1","FRIEND","George","Australian Voice",30
"QLD"," A","1","KETTER","Chris","Australian Labor Party",59
"QLD"," A","1","MOORE","Claire","Australian Labor Party",60
"QLD"," A","1","FURNER","Mark Lionel","Australian Labor Party",61
"QLD"," A","1","BOYD","Nikki Anne","Australian Labor Party",62
"QLD"," A","1","SAVAGE","Jim","One Nation",27
"QLD"," A","1","NELSON","Ian","One Nation",28
"QLD"," A","1","SCHUBACK","Peter","Australia First Party",31
"QLD"," A","1","WATSON","Peter","Australia First Party",32
"QLD"," A","1","HEAD","Mike","Socialist Equality Party",44
"QLD"," A","1","ZABALA","Gabriela","Socialist Equality Party",45
"QLD"," A","1","BOAG","Doug","Australian Protectionist Party",17
"QLD"," A","1","HEYWARD","Rick","Australian Protectionist Party",18
"QLD"," A","1","OSMAN","Stuart","Building Australia Party",11
"QLD"," A","1","HARRIS","Ryan","Building Australia Party",12
"QLD"," A","1","JOUM","LB","Senator Online (Internet Voting Bills/Issues)",7
"QLD"," A","1","JEFFERYES","Ricky","Senator Online (Internet Voting Bills/Issues)",8
"QLD"," A","1","BUCKLEY","Gabriel","Liberal Democrats",54
"QLD"," A","1","MITCHELL","Cameron James","Liberal Democrats",55
"QLD"," A","1","ROOTH","John","Stop The Greens",72
"QLD"," A","1","DESTRY","Fay","Stop The Greens",73
"QLD"," A","1","THOMAS","Melanie","Pirate Party",42
"QLD"," A","1","POMFRET","Liam","Pirate Party",43
"QLD"," A","1","STONE","Adam","The Greens",56
"QLD"," A","1","BAYLEY","Sandra","The Greens",57
"QLD"," A","1","YEAMAN","Stuart","The Greens",58
"QLD"," A","1","MONK","Brian Alexander","Stop CSG",13
"QLD"," A","1","KABEL","Deedre June","Stop CSG",14
"QLD"," A","1","O'SULLIVAN","Jane","Stable Population Party",5
"QLD"," A","1","MORAN","Matt","Stable Population Party",6
"QLD"," A","1","SWEERIS-SIGRIST","Ludy","Australian Christians",74
"QLD"," A","1","BRICE","Malcolm","Australian Christians",75
"QLD"," A","1","RUDD","Greg","",46
"QLD"," A","1","DINSEY","Emily","",47
"QLD"," A","1","BLUNDELL","James","Katter's Australian Party",76
"QLD"," A","1","PAULGER","Shane","Katter's Australian Party",77
"QLD"," A","1","MUCKAN","Les","Katter's Australian Party",78
