StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
"SA"," A","1","COGAN","James","Socialist Equality Party",1
"SA"," A","2","COGAN","James","Socialist Equality Party",1
"SA"," A","3","COGAN","James","Socialist Equality Party",1
"SA"," A","1","BYRNE","Peter","Socialist Equality Party",2
"SA"," A","2","BYRNE","Peter","Socialist Equality Party",2
"SA"," A","3","BYRNE","Peter","Socialist Equality Party",2
"SA"," A","1","DAY","Bob","Family First",45
"SA"," A","2","DAY","Bob","Family First",20
"SA"," A","3","DAY","Bob","Family First",9
"SA"," A","1","POTTER","Judi","Family First",46
"SA"," A","2","POTTER","Judi","Family First",21
"SA"," A","3","POTTER","Judi","Family First",10
"SA"," A","1","CASEY","Dan","Family First",47
"SA"," A","2","CASEY","Dan","Family First",22
"SA"," A","3","CASEY","Dan","Family First",11
"SA"," A","1","WALKER","Jeanie","Australian Democrats",48
"SA"," A","2","WALKER","Jeanie","Australian Democrats",23
"SA"," A","3","WALKER","Jeanie","Australian Democrats",12
"SA"," A","1","CASTRIQUE","Andrew","Australian Democrats",49
"SA"," A","2","CASTRIQUE","Andrew","Australian Democrats",24
"SA"," A","3","CASTRIQUE","Andrew","Australian Democrats",13
"SA"," A","1","CLARKE","Moira","Secular Party of Australia",50
"SA"," A","2","CLARKE","Moira","Secular Party of Australia",25
"SA"," A","3","CLARKE","Moira","Secular Party of Australia",14
"SA"," A","1","MACTIER","Catherine","Secular Party of Australia",51
"SA"," A","2","MACTIER","Catherine","Secular Party of Australia",26
"SA"," A","3","MACTIER","Catherine","Secular Party of Australia",15
"SA"," A","1","GAMEAU","Michael","Liberal Democrats",52
"SA"," A","2","GAMEAU","Michael","Liberal Democrats",27
"SA"," A","3","GAMEAU","Michael","Liberal Democrats",16
"SA"," A","1","NOACK","Michael Daniel","Liberal Democrats",53
"SA"," A","2","NOACK","Michael Daniel","Liberal Democrats",28
"SA"," A","3","NOACK","Michael Daniel","Liberal Democrats",17
"SA"," A","1","McDONALD","James William Walter Fenwick","Palmer United Party",54
"SA"," A","2","McDONALD","James William Walter Fenwick","Palmer United Party",29
"SA"," A","3","McDONALD","James William Walter Fenwick","Palmer United Party",18
"SA"," A","1","COLLIS","Peter Gary","Palmer United Party",55
"SA"," A","2","COLLIS","Peter Gary","Palmer United Party",30
"SA"," A","3","COLLIS","Peter Gary","Palmer United Party",19
"SA"," A","1","XENOPHON","Nick","Nick Xenophon Group",56
"SA"," A","2","XENOPHON","Nick","Nick Xenophon Group",31
"SA"," A","3","XENOPHON","Nick","Nick Xenophon Group",20
"SA"," A","1","GRIFF","Stirling","Nick Xenophon Group",57
"SA"," A","2","GRIFF","Stirling","Nick Xenophon Group",32
"SA"," A","3","GRIFF","Stirling","Nick Xenophon Group",21
"SA"," A","1","STACEY","James","National Party",58
"SA"," A","2","STACEY","James","National Party",33
"SA"," A","3","STACEY","James","National Party",22
"SA"," A","1","TITLEY","Rachel","National Party",59
"SA"," A","2","TITLEY","Rachel","National Party",34
