StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
"TAS"," A","1","ARNOL","Cheryl","Country Alliance",1
"TAS"," A","1","GARTH","Debra","Country Alliance",2
"TAS"," A","1","MEAD","Clinton","Liberal Democrats",10
"TAS"," A","1","LLOYD","Katrina","Liberal Democrats",11
"TAS"," A","1","BROWN","Carol","Australian Labor Party",22
"TAS"," A","1","BILYK","Catryna","Australian Labor Party",23
"TAS"," A","1","THORP","Lin","Australian Labor Party",18
"TAS"," A","1","DOWLING","John","Australian Labor Party",24
"TAS"," A","1","LAMONT","Philip Murray","Rise Up Australia Party",33
"TAS"," A","1","GATHERCOLE","Peter","Rise Up Australia Party",34
"TAS"," A","1","COLBECK","Richard","Liberal",19
"TAS"," A","1","BUSHBY","David","Liberal",20
"TAS"," A","1","CHANDLER","Sally","Liberal",5
"TAS"," A","1","COURTNEY","Sarah","Liberal",21
"TAS"," A","1","LAMBIE","Jacqui","Palmer United Party",43
"TAS"," A","1","DEAKIN","Kevin John","Palmer United Party",44
"TAS"," A","1","SWARTS","Kevin","Australian Christians",41
"TAS"," A","1","JONGELING","Ans","Australian Christians",42
"TAS"," A","1","FERRI","Robyne","DLP Democratic Labour",8
"TAS"," A","1","McNAMARA","Glen Anthony","DLP Democratic Labour",9
"TAS"," A","1","RANDLE","Thomas","Pirate Party",25
"TAS"," A","1","STOREY","Thomas","Pirate Party",26
"TAS"," A","1","WHISH-WILSON","Peter","Australian Greens",52
"TAS"," A","1","BURNET","Helen","Australian Greens",53
"TAS"," A","1","ANN","Penelope","Australian Greens",54
"TAS"," A","1","OWEN","Matt","Help End Marijuana Prohibition (HEMP) Party",45
"TAS"," A","1","REEVES","John","Help End Marijuana Prohibition (HEMP) Party",46
"TAS"," A","1","ALLEN","Matthew","Shooters and Fishers",14
"TAS"," A","1","BROADBY","Shane","Shooters and Fishers",15
"TAS"," A","1","SOLOMON","Neville Ward","Australian Independents",37
"TAS"," A","1","WOOD","Steven Keith","Australian Independents",38
"TAS"," A","1","SWAN","Robbie","Sex Party",3
"TAS"," A","1","EALES","Liam","Sex Party",4
"TAS"," A","1","BULLARD","David","Senator Online (Internet Voting Bills/Issues)",35
"TAS"," A","1","WIENER","Sven","Senator Online (Internet Voting Bills/Issues)",36
"TAS"," A","1","HERBERT","Geoff","Katter's Australian Party",6
"TAS"," A","1","ROLLS","Joanne","Katter's Australian Party",7
"TAS"," A","1","HAWES","James","No Carbon Tax Climate Sceptics",12
"TAS"," A","1","HINES","Petta","No Carbon Tax Climate Sceptics",13
"TAS"," A","1","STEWART","Maxwell","Australian Fishing and Lifestyle Party",16
"TAS"," A","1","STEWART","Lorraine","Australian Fishing and Lifestyle Party",17
"TAS"," A","1","DUDLEY","Todd","Stable Population Party",39
"TAS"," A","1","RICHARDSON","Pierre","Stable Population Party",40
"TAS"," A","1","ROUEN","Nick","The Australian Republicans",31
"TAS"," A","1","ROUEN","Timothy","The Australian Republicans",32
"TAS"," A","1","NICKOLS","Graham","Smokers Rights",29
"TAS"," A","1","THOMPSON","Matthew","Smokers Rights",30
"TAS"," A","1","MADDEN","Peter","Family First",48
"TAS"," A","1","GOELST","Andrew","Family First",49
"TAS"," A","1","CRAMP","Nick","Family First",50
"TAS"," A","1","NGAWHARE","Mihi","Family First",51
"TAS"," A","1","BEST","Ian Frederick","Stop The Greens",27
"TAS"," A","1","PHIBBS","John","Stop The Greens",28
"TAS"," A","1","ROBERTS","Andrew","Independent",47
"TAS"," B","1","ARNOL","Cheryl","Country Alliance",9
"TAS"," B","1","GARTH","Debra","Country Alliance",10
"TAS"," B","1","MEAD","Clinton","Liberal Democrats",1
"TAS"," B","1","LLOYD","Katrina","Liberal Democrats",2
"TAS"," B","1","BROWN","Carol","Australian Labor Party",43
"TAS"," B","1","BILYK","Catryna","Australian Labor Party",44
"TAS"," B","1","THORP","Lin","Australian Labor Party",45
"TAS"," B","1","DOWLING","John","Australian Labor Party",46
"TAS"," B","1","LAMONT","Philip Murray","Rise Up Australia Party",37
"TAS"," B","1","GATHERCOLE","Peter","Rise Up Australia Party",38
"TAS"," B","1","COLBECK","Richard","Liberal",39
"TAS"," B","1","BUSHBY","David","Liberal",40
"TAS"," B","1","CHANDLER","Sally","Liberal",41
"TAS"," B","1","COURTNEY","Sarah","Liberal",42
"TAS"," B","1","LAMBIE","Jacqui","Palmer United Party",21
"TAS"," B","1","DEAKIN","Kevin John","Palmer United Party",22
"TAS"," B","1","SWARTS","Kevin","Australian Christians",49
"TAS"," B","1","JONGELING","Ans","Australian Christians",50
"TAS"," B","1","FERRI","Robyne","DLP Democratic Labour",7
"TAS"," B","1","McNAMARA","Glen Anthony","DLP Democratic Labour",8
"TAS"," B","1","RANDLE","Thomas","Pirate Party",25
"TAS"," B","1","STOREY","Thomas","Pirate Party",26
"TAS"," B","1","WHISH-WILSON","Peter","Australian Greens",51
"TAS"," B","1","BURNET","Helen","Australian Greens",52
"TAS"," B","1","ANN","Penelope","Australian Greens",53
"TAS"," B","1","OWEN","Matt","Help End Marijuana Prohibition (HEMP) Party",33
"TAS"," B","1","REEVES","John","Help End Marijuana Prohibition (HEMP) Party",34
"TAS"," B","1","ALLEN","Matthew","Shooters and Fishers",47
"TAS"," B","1","BROADBY","Shane","Shooters and Fishers",48
"TAS"," B","1","SOLOMON","Neville Ward","Australian Independents",23
"TAS"," B","1","WOOD","Steven Keith","Australian Independents",24
"TAS"," B","1","SWAN","Robbie","Sex Party",15
"TAS"," B","1","EALES","Liam","Sex Party",16
"TAS"," B","1","BULLARD","David","Senator Online (Internet Voting Bills/Issues)",35
"TAS"," B","1","WIENER","Sven","Senator Online (Internet Voting Bills/Issues)",36
"TAS"," B","1","HERBERT","Geoff","Katter's Australian Party",17
"TAS"," B","1","ROLLS","Joanne","Katter's Australian Party",18
"TAS"," B","1","HAWES","James","No Carbon Tax Climate Sceptics",27
"TAS"," B","1","HINES","Petta","No Carbon Tax Climate Sceptics",28
"TAS"," B","1","STEWART","Maxwell","Australian Fishing and Lifestyle Party",31
"TAS"," B","1","STEWART","Lorraine","Australian Fishing and Lifestyle Party",32
"TAS"," B","1","DUDLEY","Todd","Stable Population Party",29
"TAS"," B","1","RICHARDSON","Pierre","Stable Population Party",30
"TAS"," B","1","ROUEN","Nick","The Australian Republicans",19
"TAS"," B","1","ROUEN","Timothy","The Australian Republicans",20
"TAS"," B","1","NICKOLS","Graham","Smokers Rights",3
"TAS"," B","1","THOMPSON","Matthew","Smokers Rights",4
"TAS"," B","1","MADDEN","Peter","Family First",11
"TAS"," B","1","GOELST","Andrew","Family First",12
"TAS"," B","1","CRAMP","Nick","Family First",13
"TAS"," B","1","NGAWHARE","Mihi","Family First",14
"TAS"," B","1","BEST","Ian Frederick","Stop The Greens",5
"TAS"," B","1","PHIBBS","John","Stop The Greens",6
"TAS"," B","1","ROBERTS","Andrew","Independent",54
"TAS"," C","1","ARNOL","Cheryl","Country Alliance",40
"TAS"," C","1","GARTH","Debra","Country Alliance",39
"TAS"," C","1","MEAD","Clinton","Liberal Democrats",24
"TAS"," C","1","LLOYD","Katrina","Liberal Democrats",25
"TAS"," C","1","BROWN","Carol","Australian Labor Party",1
"TAS"," C","1","BILYK","Catryna","Australian Labor Party",2
"TAS"," C","1","THORP","Lin","Australian Labor Party",3
"TAS"," C","1","DOWLING","John","Australian Labor Party",4
"TAS"," C","1","LAMONT","Philip Murray","Rise Up Australia Party",54
"TAS"," C","1","GATHERCOLE","Peter","Rise Up Australia Party",53
"TAS"," C","1","COLBECK","Richard","Liberal",52
"TAS"," C","1","BUSHBY","David","Liberal",51
"TAS"," C","1","CHANDLER","Sally","Liberal",50
"TAS"," C","1","COURTNEY","Sarah","Liberal",49
"TAS"," C","1","LAMBIE","Jacqui","Palmer United Party",18
"TAS"," C","1","DEAKIN","Kevin John","Palmer United Party",19
"TAS"," C","1","SWARTS","Kevin","Australian Christians",46
"TAS"," C","1","JONGELING","Ans","Australian Christians",45
"TAS"," C","1","FERRI","Robyne","DLP Democratic Labour",48
"TAS"," C","1","McNAMARA","Glen Anthony","DLP Democratic Labour",47
"TAS"," C","1","RANDLE","Thomas","Pirate Party",16
"TAS"," C","1","STOREY","Thomas","Pirate Party",17
"TAS"," C","1","WHISH-WILSON","Peter","Australian Greens",5
"TAS"," C","1","BURNET","Helen","Australian Greens",6
"TAS"," C","1","ANN","Penelope","Australian Greens",7
"TAS"," C","1","OWEN","Matt","Help End Marijuana Prohibition (HEMP) Party",35
"TAS"," C","1","REEVES","John","Help End Marijuana Prohibition (HEMP) Party",36
"TAS"," C","1","ALLEN","Matthew","Shooters and Fishers",8
"TAS"," C","1","BROADBY","Shane","Shooters and Fishers",9
"TAS"," C","1","SOLOMON","Neville Ward","Australian Independents",42
"TAS"," C","1","WOOD","Steven Keith","Australian Independents",41
"TAS"," C","1","SWAN","Robbie","Sex Party",10
"TAS"," C","1","EALES","Liam","Sex Party",11
"TAS"," C","1","BULLARD","David","Senator Online (Internet Voting Bills/Issues)",20
"TAS"," C","1","WIENER","Sven","Senator Online (Internet Voting Bills/Issues)",21
"TAS"," C","1","HERBERT","Geoff","Katter's Australian Party",22
"TAS"," C","1","ROLLS","Joanne","Katter's Australian Party",23
"TAS"," C","1","HAWES","James","No Carbon Tax Climate Sceptics",31
"TAS"," C","1","HINES","Petta","No Carbon Tax Climate Sceptics",32
"TAS"," C","1","STEWART","Maxwell","Australian Fishing and Lifestyle Party",37
"TAS"," C","1","STEWART","Lorraine","Australian Fishing and Lifestyle Party",38
"TAS"," C","1","DUDLEY","Todd","Stable Population Party",44
"TAS"," C","1","RICHARDSON","Pierre","Stable Population Party",43
"TAS"," C","1","ROUEN","Nick","The Australian Republicans",26
"TAS"," C","1","ROUEN","Timothy","The Australian Republicans",27
"TAS"," C","1","NICKOLS","Graham","Smokers Rights",33
"TAS"," C","1","THOMPSON","Matthew","Smokers Rights",34
"TAS"," C","1","MADDEN","Peter","Family First",12
"TAS"," C","1","GOELST","Andrew","Family First",13
"TAS"," C","1","CRAMP","Nick","Family First",14
"TAS"," C","1","NGAWHARE","Mihi","Family First",15
"TAS"," C","1","BEST","Ian Frederick","Stop The Greens",28
"TAS"," C","1","PHIBBS","John","Stop The Greens",29
"TAS"," C","1","ROBERTS","Andrew","Independent",30
"TAS"," D","1","ARNOL","Cheryl","Country Alliance",39
"TAS"," D","1","GARTH","Debra","Country Alliance",40
"TAS"," D","1","MEAD","Clinton","Liberal Democrats",41
"TAS"," D","1","LLOYD","Katrina","Liberal Democrats",42
"TAS"," D","1","BROWN","Carol","Australian Labor Party",35
"TAS"," D","1","BILYK","Catryna","Australian Labor Party",36
"TAS"," D","1","THORP","Lin","Australian Labor Party",37
"TAS"," D","1","DOWLING","John","Australian Labor Party",38
"TAS"," D","1","LAMONT","Philip Murray","Rise Up Australia Party",1
"TAS"," D","1","GATHERCOLE","Peter","Rise Up Australia Party",2
"TAS"," D","1","COLBECK","Richard","Liberal",21
"TAS"," D","1","BUSHBY","David","Liberal",22
"TAS"," D","1","CHANDLER","Sally","Liberal",23
"TAS"," D","1","COURTNEY","Sarah","Liberal",24
