StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
VIC, A,1,NALLIAH,Daniel,Rise Up Australia Party,1
VIC, D,1,TAYLOR,Lloyd,Senator Online (Internet Voting Bills/Issues),1
VIC, E,1,FIFIELD,Mitch,Liberal,1
VIC, E,2,FIFIELD,Mitch,Liberal,1
VIC, F,1,RILEY,Matt,Help End Marijuana Prohibition (HEMP) Party,1
VIC, F,2,RILEY,Matt,Help End Marijuana Prohibition (HEMP) Party,1
VIC, F,3,RILEY,Matt,Help End Marijuana Prohibition (HEMP) Party,1
VIC, G,1,FENN,Ashley,Family First,1
VIC, H,1,JONES,Andrew,Country Alliance,1
VIC, I,1,PERKINS,John L,Secular Party of Australia,1
VIC, J,1,DAWSON,Chris,No Carbon Tax Climate Sceptics,1
VIC, K,1,RIGONI,Maria Marcia,Bank Reform Party,1
VIC, L,1,HAYES,Clifford,Stable Population Party,1
VIC, L,2,HAYES,Clifford,Stable Population Party,1
VIC, L,3,HAYES,Clifford,Stable Population Party,1
VIC, N,1,ZAMMIT,Joe,Australian Fishing and Lifestyle Party,1
VIC, O,1,MALONEY,Terry,Shooters and Fishers,1
VIC, P,1,EVANS,Darren,Building Australia Party,1
VIC, Q,1,SHMUEL,Immanuel,Australian Voice Party,1
VIC, R,1,SHAW,Samantha,Australian Independents,1
VIC, S,1,RICE,Janet,The Greens,1
VIC, T,1,TOSCANO,Joseph,,1
VIC, U,1,THORROWGOOD,Roger Hugh,Stop CSG,1
VIC, V,1,DANIELI,Robert,Katter's Australian Party,1
VIC, W,1,MICHAEL,Barry,Palmer United Party,1
VIC, Y,1,POON,Bruce,Animal Justice Party,1
VIC, Z,1,MUIR,Ricky,Australian Motoring Enthusiast Party,1
VIC, Z,2,MUIR,Ricky,Australian Motoring Enthusiast Party,1
VIC,AA,1,ASSANGE,Julian,The Wikileaks Party,1
VIC,AB,1,COLLYER,David,Australian Democrats,1
VIC,AB,2,COLLYER,David,Australian Democrats,1
VIC,AC,1,PATTEN,Fiona,Sex Party,1
VIC,AD,1,MARSHALL,Gavin,Australian Labor Party,1
VIC,AF,1,CHIPP,Greg,Drug Law Reform,1
VIC,AF,2,CHIPP,Greg,Drug Law Reform,1
VIC,AG,1,ERWOOD,Mark,Bullet Train For Australia,1
VIC,AH,1,JANSON,Vickie,Australian Christians,1
VIC,AI,1,ISHERWOOD,Craig,Citizens Electoral Council,1
VIC,AI,2,ISHERWOOD,Craig,Citizens Electoral Council,1
VIC,AJ,1,NICHOLLS,Bob,,1
VIC,AK,1,O'CONNOR,Patrick,Socialist Equality Party,1
VIC,AK,2,O'CONNOR,Patrick,Socialist Equality Party,1
VIC,AK,3,O'CONNOR,Patrick,Socialist Equality Party,1
VIC,AL,1,MILES,Joseph,Pirate Party,1
VIC,AM,1,FARRELL,Mark,DLP Democratic Labour,1
VIC, A,1,CRESTANI,Rosalie,Rise Up Australia Party,2
VIC, D,1,SMITH,Tony,Senator Online (Internet Voting Bills/Issues),2
VIC, E,1,RYAN,Scott,Liberal,2
VIC, E,2,RYAN,Scott,Liberal,2
VIC, F,1,FLETCHER,Ryan William,Help End Marijuana Prohibition (HEMP) Party,2
VIC, F,2,FLETCHER,Ryan William,Help End Marijuana Prohibition (HEMP) Party,2
VIC, F,3,FLETCHER,Ryan William,Help End Marijuana Prohibition (HEMP) Party,2
VIC, G,1,MORRIS,Trudie,Family First,2
VIC, H,1,KERR,Garry,Country Alliance,2
VIC, I,1,SCEATS,Rosemary Elizabeth,Secular Party of Australia,2
VIC, J,1,RODDA,John,No Carbon Tax Climate Sceptics,2
VIC, K,1,RIGONI,Paul,Bank Reform Party,2
VIC, L,1,QUIRK,Jill,Stable Population Party,2
VIC, L,2,QUIRK,Jill,Stable Population Party,2
VIC, L,3,QUIRK,Jill,Stable Population Party,2
VIC, N,1,ABELA,Richard,Australian Fishing and Lifestyle Party,2
VIC, O,1,MALCOLM,Steve,Shooters and Fishers,2
VIC, P,1,WHITE,Samuel,Building Australia Party,2
VIC, Q,1,HUGHES,Vern,Australian Voice Party,2
VIC, R,1,WOOD,Yvonne,Australian Independents,2
VIC, S,1,McCARTHY,Trent Mark,The Greens,2
VIC, T,1,MATTHEWS,Beth,,2
VIC, U,1,VAN ROSMALEN,Adele,Stop CSG,2
VIC, V,1,COSTABILE,David,Katter's Australian Party,2
VIC, W,1,HAWKINS,Douglas James,Palmer United Party,2
VIC, Y,1,DAVISON,Sarah,Animal Justice Party,2
VIC, Z,1,GILL,Craig A,Australian Motoring Enthusiast Party,2
VIC, Z,2,GILL,Craig A,Australian Motoring Enthusiast Party,2
VIC,AA,1,CANNOLD,Leslie,The Wikileaks Party,2
VIC,AB,1,HOWE,Roger,Australian Democrats,2
VIC,AB,2,HOWE,Roger,Australian Democrats,2
VIC,AC,1,HOPKINS,Ange,Sex Party,2
VIC,AD,1,COLLINS,Jacinta,Australian Labor Party,2
VIC,AF,1,SHERMAN,John,Drug Law Reform,2
VIC,AF,2,SHERMAN,John,Drug Law Reform,2
VIC,AG,1,PHILLIPS,Steve,Bullet Train For Australia,2
VIC,AH,1,PAPAFOTIOU,Frank,Australian Christians,2
VIC,AI,1,BARWICK,Robert,Citizens Electoral Council,2
VIC,AI,2,BARWICK,Robert,Citizens Electoral Council,2
VIC,AJ,1,NICHOLLS,Kylie,,2
VIC,AK,1,BAPTIST,Tania,Socialist Equality Party,2
VIC,AK,2,BAPTIST,Tania,Socialist Equality Party,2
VIC,AK,3,BAPTIST,Tania,Socialist Equality Party,2
VIC,AL,1,HAMMETT,Geoffrey David,Pirate Party,2
VIC,AM,1,MAZZARELLA,Stephanie,DLP Democratic Labour,2
VIC, A,1,RIGONI,Maria Marcia,Bank Reform Party,3
VIC, D,1,ERWOOD,Mark,Bullet Train For Australia,3
VIC, E,1,KROGER,Helen,Liberal,3
VIC, E,2,KROGER,Helen,Liberal,3
VIC, F,1,CHIPP,Greg,Drug Law Reform,3
VIC, F,2,CHIPP,Greg,Drug Law Reform,3
VIC, F,3,CHIPP,Greg,Drug Law Reform,3
VIC, G,1,MUIR,Ricky,Australian Motoring Enthusiast Party,3
VIC, H,1,DANIELI,Robert,Katter's Australian Party,3
VIC, I,1,COLLYER,David,Australian Democrats,3
VIC, J,1,NALLIAH,Daniel,Rise Up Australia Party,3
VIC, K,1,MUIR,Ricky,Australian Motoring Enthusiast Party,3
VIC, L,1,POON,Bruce,Animal Justice Party,3
VIC, L,2,POON,Bruce,Animal Justice Party,3
VIC, L,3,POON,Bruce,Animal Justice Party,3
VIC, N,1,SHMUEL,Immanuel,Australian Voice Party,3
VIC, O,1,SHMUEL,Immanuel,Australian Voice Party,3
VIC, P,1,ERWOOD,Mark,Bullet Train For Australia,3
VIC, Q,1,PATTEN,Fiona,Sex Party,3
VIC, R,1,COLLYER,David,Australian Democrats,3
VIC, S,1,TRUONG,Thi Viet Huong,The Greens,3
VIC, T,1,ASSANGE,Julian,The Wikileaks Party,3
VIC, U,1,TAYLOR,Lloyd,Senator Online (Internet Voting Bills/Issues),3
VIC, V,1,JONES,Andrew,Country Alliance,3
VIC, W,1,PALMAN,Penny Maree,Palmer United Party,3
VIC, Y,1,COLLYER,David,Australian Democrats,3
VIC, Z,1,RIGONI,Maria Marcia,Bank Reform Party,3
VIC, Z,2,RIGONI,Maria Marcia,Bank Reform Party,3
VIC,AA,1,KAMPMARK,Binoy,The Wikileaks Party,3
VIC,AB,1,ISGRO,Sarina,Australian Democrats,3
VIC,AB,2,ISGRO,Sarina,Australian Democrats,3
VIC,AC,1,CHIPP,Greg,Drug Law Reform,3
VIC,AD,1,TILLEM,Mehmet,Australian Labor Party,3
VIC,AF,1,COLLYER,David,Australian Democrats,3
VIC,AF,2,COLLYER,David,Australian Democrats,3
VIC,AG,1,TAYLOR,Lloyd,Senator Online (Internet Voting Bills/Issues),3
VIC,AH,1,TAYLOR,Lloyd,Senator Online (Internet Voting Bills/Issues),3
VIC,AI,1,FENN,Ashley,Family First,3
VIC,AI,2,FENN,Ashley,Family First,3
VIC,AJ,1,WEBB,Peter,,3
VIC,AK,1,FIFIELD,Mitch,Liberal,3
VIC,AK,3,RICE,Janet,The Greens,3
VIC,AK,2,MARSHALL,Gavin,Australian Labor Party,3
VIC,AL,1,COLLYER,David,Australian Democrats,3
VIC,AM,1,NALLIAH,Daniel,Rise Up Australia Party,3
VIC, A,1,RIGONI,Paul,Bank Reform Party,4
VIC, D,1,PHILLIPS,Steve,Bullet Train For Australia,4
VIC, E,1,CORBOY,Martin Louis,The Nationals,4
VIC, E,2,CORBOY,Martin Louis,The Nationals,4
VIC, F,1,SHERMAN,John,Drug Law Reform,4
VIC, F,2,SHERMAN,John,Drug Law Reform,4
VIC, F,3,SHERMAN,John,Drug Law Reform,4
VIC, G,1,GILL,Craig A,Australian Motoring Enthusiast Party,4
VIC, H,1,COSTABILE,David,Katter's Australian Party,4
VIC, I,1,HOWE,Roger,Australian Democrats,4
VIC, J,1,CRESTANI,Rosalie,Rise Up Australia Party,4
VIC, K,1,GILL,Craig A,Australian Motoring Enthusiast Party,4
VIC, L,1,DAVISON,Sarah,Animal Justice Party,4
VIC, L,2,DAVISON,Sarah,Animal Justice Party,4
VIC, L,3,DAVISON,Sarah,Animal Justice Party,4
VIC, N,1,HUGHES,Vern,Australian Voice Party,4
VIC, O,1,HUGHES,Vern,Australian Voice Party,4
VIC, P,1,PHILLIPS,Steve,Bullet Train For Australia,4
VIC, Q,1,HOPKINS,Ange,Sex Party,4
VIC, R,1,HOWE,Roger,Australian Democrats,4
VIC, S,1,CHRISTOE,Ian J,The Greens,4
VIC, T,1,CANNOLD,Leslie,The Wikileaks Party,4
VIC, U,1,SMITH,Tony,Senator Online (Internet Voting Bills/Issues),4
VIC, V,1,KERR,Garry,Country Alliance,4
VIC, W,1,FENN,Ashley,Family First,4
VIC, Y,1,HOWE,Roger,Australian Democrats,4
VIC, Z,1,RIGONI,Paul,Bank Reform Party,4
VIC, Z,2,RIGONI,Paul,Bank Reform Party,4
VIC,AA,1,MILES,Joseph,Pirate Party,4
VIC,AB,1,RAINES,Greg,Australian Democrats,4
VIC,AB,2,RAINES,Greg,Australian Democrats,4
VIC,AC,1,SHERMAN,John,Drug Law Reform,4
VIC,AD,1,PSAILA,Lynn,Australian Labor Party,4
VIC,AF,1,HOWE,Roger,Australian Democrats,4
VIC,AF,2,HOWE,Roger,Australian Democrats,4
VIC,AG,1,SMITH,Tony,Senator Online (Internet Voting Bills/Issues),4
VIC,AH,1,SMITH,Tony,Senator Online (Internet Voting Bills/Issues),4
VIC,AI,1,MORRIS,Trudie,Family First,4
VIC,AI,2,MORRIS,Trudie,Family First,4
VIC,AJ,1,GUNTER,Lyn,Independent,4
VIC,AK,1,RYAN,Scott,Liberal,4
VIC,AK,3,McCARTHY,Trent Mark,The Greens,4
VIC,AK,2,COLLINS,Jacinta,Australian Labor Party,4
