StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
"WA"," A","1","KATZ-BARBER","Max","Smokers Rights",1
"WA"," A","1","DI RADO","Daniel","Smokers Rights",2
"WA"," A","1","FRYAR","Jim","Liberal Democrats",3
"WA"," A","1","HAMILTON","Neil","Liberal Democrats",4
"WA"," A","1","van BURGEL","Jamie","Australian Christians",51
"WA"," A","1","MOSELEY","Justin","Australian Christians",52
"WA"," A","1","BALDERSTONE","Michael","Help End Marijuana Prohibition (HEMP) Party",33
"WA"," A","1","MOYLAN","Tayla","Help End Marijuana Prohibition (HEMP) Party",34
"WA"," A","1","SYMONDS","Peter","Socialist Equality Party",61
"WA"," A","1","LOPEZ","Joe","Socialist Equality Party",62
"WA"," A","1","WANG","Zhenya","Palmer United Party",13
"WA"," A","1","TERBLANCHE","Chamonix","Palmer United Party",14
"WA"," A","1","BOW","Murray","Shooters and Fishers",49
"WA"," A","1","PARKES","John David","Shooters and Fishers",50
"WA"," A","1","PARKES","Brian W","Australian Voice Party",29
"WA"," A","1","BUTLER","Sean","Australian Voice Party",30
"WA"," A","1","PALMER","Steve","Sex Party",9
"WA"," A","1","COLEMAN","Mark","Sex Party",10
"WA"," A","1","ATKINS","Edward","Secular Party of Australia",11
"WA"," A","1","CUTHBERT","Simon Andrew","Secular Party of Australia",12
"WA"," A","1","HIGGINS","Daryl","Australian Independents",27
"WA"," A","1","IRVING","Patricia","Australian Independents",28
"WA"," A","1","GEORGATOS","Gerry","The Wikileaks Party",7
"WA"," A","1","RAJAN","Suresh","The Wikileaks Party",8
"WA"," A","1","FELS","Anthony James","Katter's Australian Party",17
"WA"," A","1","HODDINOTT","Susan","Katter's Australian Party",18
"WA"," A","1","ROSE","Linda","Family First Party",21
"WA"," A","1","HENG","Henry","Family First Party",22
"WA"," A","1","BYASS","Adrian","No Carbon Tax Climate Sceptics",25
"WA"," A","1","DEWAR","Heather","No Carbon Tax Climate Sceptics",26
"WA"," A","1","STRACHAN","Peter","Stable Population Party",35
"WA"," A","1","BANKS","John","Stable Population Party",36
"WA"," A","1","FISHLOCK","David","Stop The Greens",19
"WA"," A","1","KINNINMONT","Kim Alexander","Stop The Greens",20
"WA"," A","1","FERNANDEZ","Chris","Australian Democrats",39
"WA"," A","1","THIEL","William","Australian Democrats",40
"WA"," A","1","LUDLAM","Scott","The Greens (WA)",57
"WA"," A","1","DAVIS","Kate","The Greens (WA)",58
"WA"," A","1","DUNCAN","Adam Nathan","The Greens (WA)",59
"WA"," A","1","LOVE","Katrina","Animal Justice Party",41
"WA"," A","1","SUTTON","Alicia","Animal Justice Party",42
"WA"," A","1","WIRRPANDA","David","The Nationals",37
"WA"," A","1","EAGLES","David","The Nationals",38
"WA"," A","1","EDWARDS","Jay","Australian Fishing and Lifestyle Party",23
"WA"," A","1","FINLAYSON","Ross","Australian Fishing and Lifestyle Party",24
"WA"," A","1","HOWLETT","Richie","Australian Motoring Enthusiast Party",15
"WA"," A","1","YOUNG","Sharon","Australian Motoring Enthusiast Party",16
"WA"," A","1","DROPULICH","Wayne","Australian Sports Party",5
"WA"," A","1","LACKOVIC","Al","Australian Sports Party",6
"WA"," A","1","FOREMAN","Jane","Rise Up Australia Party",31
"WA"," A","1","BENNETT","Joanne","Rise Up Australia Party",32
"WA"," A","1","BULLOCK","Joe","Australian Labor Party",53
"WA"," A","1","PRATT","Louise","Australian Labor Party",54
"WA"," A","1","FOSTER","Peter Allan","Australian Labor Party",55
"WA"," A","1","ALI","Suliman Mohamed","Australian Labor Party",56
"WA"," A","1","JOHNSTON","David","Liberal",43
"WA"," A","1","CASH","Michaelia","Liberal",44
"WA"," A","1","REYNOLDS","Linda","Liberal",45
"WA"," A","1","BROCKMAN","Slade","Liberal",46
"WA"," A","1","THOMAS","Steven","Liberal",47
"WA"," A","1","OUGHTON","Chris","Liberal",48
"WA"," A","1","FARMER","Robert Malcolm","One Nation",60
"WA"," B","1","KATZ-BARBER","Max","Smokers Rights",17
"WA"," B","1","DI RADO","Daniel","Smokers Rights",18
"WA"," B","1","FRYAR","Jim","Liberal Democrats",1
"WA"," B","1","HAMILTON","Neil","Liberal Democrats",2
"WA"," B","1","van BURGEL","Jamie","Australian Christians",51
"WA"," B","1","MOSELEY","Justin","Australian Christians",52
"WA"," B","1","BALDERSTONE","Michael","Help End Marijuana Prohibition (HEMP) Party",33
"WA"," B","1","MOYLAN","Tayla","Help End Marijuana Prohibition (HEMP) Party",34
"WA"," B","1","SYMONDS","Peter","Socialist Equality Party",61
"WA"," B","1","LOPEZ","Joe","Socialist Equality Party",62
"WA"," B","1","WANG","Zhenya","Palmer United Party",11
"WA"," B","1","TERBLANCHE","Chamonix","Palmer United Party",12
"WA"," B","1","BOW","Murray","Shooters and Fishers",49
"WA"," B","1","PARKES","John David","Shooters and Fishers",50
"WA"," B","1","PARKES","Brian W","Australian Voice Party",29
"WA"," B","1","BUTLER","Sean","Australian Voice Party",30
"WA"," B","1","PALMER","Steve","Sex Party",7
"WA"," B","1","COLEMAN","Mark","Sex Party",8
"WA"," B","1","ATKINS","Edward","Secular Party of Australia",9
"WA"," B","1","CUTHBERT","Simon Andrew","Secular Party of Australia",10
"WA"," B","1","HIGGINS","Daryl","Australian Independents",27
"WA"," B","1","IRVING","Patricia","Australian Independents",28
"WA"," B","1","GEORGATOS","Gerry","The Wikileaks Party",5
"WA"," B","1","RAJAN","Suresh","The Wikileaks Party",6
"WA"," B","1","FELS","Anthony James","Katter's Australian Party",15
"WA"," B","1","HODDINOTT","Susan","Katter's Australian Party",16
"WA"," B","1","ROSE","Linda","Family First Party",21
"WA"," B","1","HENG","Henry","Family First Party",22
"WA"," B","1","BYASS","Adrian","No Carbon Tax Climate Sceptics",25
"WA"," B","1","DEWAR","Heather","No Carbon Tax Climate Sceptics",26
"WA"," B","1","STRACHAN","Peter","Stable Population Party",35
"WA"," B","1","BANKS","John","Stable Population Party",36
"WA"," B","1","FISHLOCK","David","Stop The Greens",19
"WA"," B","1","KINNINMONT","Kim Alexander","Stop The Greens",20
"WA"," B","1","FERNANDEZ","Chris","Australian Democrats",39
"WA"," B","1","THIEL","William","Australian Democrats",40
"WA"," B","1","LUDLAM","Scott","The Greens (WA)",57
